,Feature Importance,Mutual Information
domain,SCORE %,SCORE %
ancientreasures.com,5.96,8.12
i-blades.com,65.44,71.96
feelbpay.com,6.24,8.55
gamethrottle.com,7.04,9.42
boostedcommerce.com,5.91,10.34
sevenvalleys.ca,4.15,6.49
policeactionfund.org,5.47,8.09
tevenatesto.com,6.2,7.68
bizgurukul.com,6.92,10.88
argowest.ru,3.95,3.52
olympiawatch.com,6.02,5.98
saleaaa.com,5.2,8.04
thrift2u.com,6.81,10.88
luxhavenco.com,7.2,9.7
locateanumber.com,6.08,7.98
usa-passport.org,4.38,7.41
uspss.org,3.44,6.05
culture-dunk.com,6.27,7.98
harrisvacations.com,7.06,9.45
lvmous.com,6.84,9.32
kimonoshi.com,6.95,10.9
nationalautoreports.com,6.19,7.64
srbusinesses.com,7.04,9.42
hllofriend.com,6.95,10.9
shirtstash.com,6.02,5.98
animatedjob.net,4.77,7.4
moneygrubber.co.uk,3.62,5.47
scoothq.com,5.96,8.12
x2tech.co.uk,2.7,5.05
mypyre.com,6.95,10.9
synnchronybank.com,5.84,7.28
worldtraderfx.com,4.45,7.42
asicminers.shop,3.44,6.4
shopurbanice.com,6.06,8.41
u-go.co,4.73,6.71
theprincessfantasy.com,5.93,8.09
logosynergy.com,5.23,8.01
unique.finance,4.35,8.08
footedbytc.com,6.63,8.96
armehtech.com,5.83,7.26
apemans.com,4.9,7.42
salefashion.shop,3.27,5.88
stickr.co,3.91,6.46
commonlogarithm.co,2.84,5.01
pandaforth.com,6.92,10.88
yayukata.com,6.95,10.9
ex-load.com,65.41,71.94
fastruralnow.com,7.06,9.45
startweeklyjob.com,7.04,9.42
shopblankwalls.com,6.03,8.38
aspiregear.com,7.09,10.58
aspiregear.com,7.31,11.29
premiumfanstore.com,6.05,7.96
cardflip.com,99.78,99.38
attunlocker.us,4.03,5.59
haveibeenpwned.com,98.72,96.34
ironsidecomputers.com,63.91,69.53
popvoice-us.com,5.72,7
hubgeo.com,6.06,8.73
iswift.io,2.82,4.84
slicklane.com,6.95,10.9
badboyreport.kr,4.01,5.55
eonpods.com,6.02,5.98
iyialiu.com,7.06,9.45
courseforhivaids.com,6.23,8.81
adeccostaffinggroup.com,5.84,7.27
yntravel.us,3.13,6.09
writtenconstellations.com,5.24,8.06
postcron.com,65.8,73
mystery-boxes.com,5.9,7.56
buddygays.com,33.13,39.16
shnvme.com,5.82,7.22
italiaartmagazine.it,3.78,6.1
topstepfx.com,6.26,8.84
trinefournais.com,5.56,5.04
reverse.photos,3.13,5.91
les.nyc,3.91,6.74
bikecomputer.co,3.59,7.5
rcshopers.com,5.95,10.19
iconow.net,2.83,7.12
bluntbliss.com,5.82,7.22
wintersstyle.com,7.04,9.42
vennoticias.com,6.03,7.89
greencardorganization.com,6.95,10.9
greencardorganization.com,6.14,10.29
postimg.cc,38.09,33.23
postimg.cc,38.09,33.23
att-bundles.com,40.58,36.25
crillers.com,6.05,8.91
proxyrotator.com,6.24,8.55
rental-union.com,6.71,8.42
vista.tv,4.62,8.82
owranks.com,6.18,7.6
yourbestlife.io,3.51,5.15
ninjadark.com,6.14,10.29
xxxhardcore500.com,6.93,9.42
freshlensnow.com,4.76,6.71
darrenandmike.com,7.04,9.42
believeprosperity.com,33.13,39.16
retirewithustoday.com,7.04,9.42
geeksonrepair.com,64.7,70.9
avcphotostore.com,6.26,8.84
selectiveservicenumber.org,4.27,7.07
hlgoods.com,6.92,10.88
esnt.net,4.01,6.06
chargeitbacks.com,5.67,9.6
gearguiders.com,6.02,5.98
tlkfusionpro.com,5.6,8.44
skghtw.com,6.03,7.89
trustfx.io,3.28,6.33
mympx.org,5.44,8.07
greygrid.net,3.69,5.66
webcamrecs.com,6.73,10.78
legitchemonlineshop.com,5.18,9.34
steambonus.com,7.2,9.7
siraweb.com,65.88,71.51
familyfirsttechnology.com,5.44,7.94
lifeneedsstore.com,7.06,9.45
upstore.net,62.8,68.06
fitnq.com,6.6,8.93
onlineltc.io,3.94,6.49
ladypromdress.com,5.86,10.32
finsocial.org,5.08,7.69
captchsure130.com,6.01,8.68
bigcalluniverse.com,7.04,9.42
myincomeweb.com,6.17,7.57
grammarchecker.io,3.94,6.49
refurbished-warehouse.com,6.68,8.39
myonlinesecurity.co.uk,3.97,5.83
opengovuk.com,6.05,8.91
steamrep.com,64.99,72.38
hyperxgames.com,7.09,11.16
bitcoincasino.us,30.88,38.63
instaud.io,4.75,8.5
tshirtpublic.com,5.71,10.23
packetstream.io,37.95,32.9
palmrio.com,6.05,8.91
paydayloansforusa.org,61.01,67.81
novinzio.com,6.02,8.88
pitechnology.org,5.08,7.69
casemash.com,7.04,9.42
topmovingquote.com,6.25,8.59
franserve.com,64.89,71
franchisedictionarymagazine.com,7.06,9.45
newjourneytobusinessownership.com,4.81,7.85
omgleds.com,5.99,5.95
acs-pharmacy.com,4.63,6.42
offshorecorptalk.com,33.02,40.61
shopee.sg,35.69,28.33
ps3mobi.com,6.76,9.35
petfantasy.ca,3.79,6.11
freelogodesign.org,94.95,92.93
osakastreetwear.com,6.23,8.51
joinhoney.com,99.12,97.34
lifeofronin.com,6.03,8.38
urechar.com,5.81,7.19
islegitsite.com,5.76,9.86
omitttradeschool.com,6.24,8.55
myworkforlife.com,6.24,8.55
budgetgoodz.com,6.38,9.26
leafedin.com,7.04,9.42
lifestylemovementsociety.com,6.95,10.9
ecocapsule.sk,2.79,2.52
pigzbe.com,5.38,6.94
koisea.com,6.95,10.9
solekoi.com,6.92,10.88
goodwillpharmacy.org,5.08,7.69
texttheromanceback.com,65.88,71.51
mininghunter.com,7.04,9.42
pictame.com,6.92,10.88
discountstoresale.com,5.16,7.97
cubejelly.com,5.15,7.13
creatensend.com,65.36,64.44
cheapweed.ca,29.89,35.84
checkwhocalled.com,6.73,10.2
ebookentry.com,6.05,10.01
blvcknoir.com,7.04,9.42
assigncode.com,6.24,8.55
coinmarketcap.com,65.01,65.35
cryptonewsmonitor.com,7.04,9.42
312ev.com,6.93,9.42
bonlinesale.com,6.03,7.64
lazajoy.com,6.08,8.04
westaygroup.com,6.74,10.25
getdesigndegrees.com,7.04,9.42
whyunified.com,6.26,8.84
kgstechgroup.com,6.69,10.14
sqaurdpharm.com,6.12,9.12
edollarearn.com,65.77,72.97
blvckedpods.com,6.92,10.88
apollo31.com,6.6,10.22
bnoacoustics.com,5.91,10.34
csgoatse.com,6.08,7.98
theuncorkedlibrarian.com,3.92,8.87
tutorhelp.club,4.69,7.33
waywrite.com,5.11,7.65
homeworkfor.me,2.73,5.35
wridemy.com,5.9,7.48
subsidian.org,4.3,6.85
kankensbackpacks.com,6.42,8.34
allgreekvillas.com,62.82,68.71
univold.com,5.83,8.78
glanceclock.com,6.02,5.98
carpartsmotor.com,4.2,4.82
myminiprojector.com,5.99,5.95
miniprojector.us,4.92,8.57
blankethoodie.co,4.08,6.25
neatprojector.com,6.92,10.88
miniprojectors.co,4.95,9.17
tulumwellnessacademy.com,6.26,8.84
amazonplzstop.com,5.99,5.95
reforest-iita.org,4.1,5.57
healthplanrate.com,5.75,9.83
firstquotehealth.com,64.72,69.41
alinanova.com,6.02,5.98
inicases.com,5.64,10.2
shoeshinee.com,7.04,9.42
smmsky.co,3.91,6.46
westwind.shop,5.09,7.63
arthouseonlinegallery.com,5.71,9.66
arbflow.com,7.4,9.8
wowroms.com,40.1,34.39
tickets-center.com,98.41,97.8
vikingenes.com,6.02,5.98
thepeoplesclub.org,5.08,7.69
infaceinvestgroup.com,6.06,7.92
skylifeboutique.com,6.92,10.88
cpavox.com,5.25,7.34
wpcdoors.com,6.84,9.32
refundselection.com,67.15,65.57
caseis-mylife.com,5.63,4.92
passports-services.com,6.34,9.14
minimalistcards.com,6.02,5.98
ordinarycoders.com,5.86,7.28
cashapphelps.net,4.96,7.5
ericpsychic.com,6.25,8.51
mobileklean.com,5.84,7.28
goanimestore.com,7.04,9.42
mahkota-bank.co,29.63,35.1
chubbysbikes.com,5.17,8.26
piquetea.com,5.86,10.32
sncvrs.com,5.23,7.28
beastcards.com,7.2,9.7
fiti-2.com,6.46,9.84
ihomeau.com,6.28,8.62
neonbeach.com,6.95,10.9
ultimatecrusade.com,65.88,71.51
uniquebookcover.com,5.93,9.62
thesneakerfactory.in,3.42,3.07
supremocontrol.com,64.28,62.71
casemine.com,41.08,35.86
nashapochta.com,64.09,70.39
ticketweb.uk,37.21,32.52
affordablebuildingblocks.com,6.35,6.33
thewilliamsestates.com,65.91,71.54
goadapter.com,6.05,10.01
lighteyez.com,7.06,9.45
thislifeoftravel.com,5.48,8
fanaticanimestore.com,5.21,8.08
which.co.uk,94.74,93.02
traderrater.net,4.18,6.91
usaimc.com,5.61,8.47
hdstexas.com,7.04,9.42
hleatherjackets.com,5.98,8.87
certranslations.com,64.09,70.15
motortrend.com,96.81,96.97
simplycarbonfiber.com,64.99,72.38
aelfriceden.com,40.97,37.31
workshopreplay.com,7.04,9.42
lifestylevipvacations.com,65.88,71.51
can1business.com,5.14,7.34
dreamstolifesuccess.com,65.88,71.51
wealthwithpassion.com,7.04,9.42
youcreateyourlife.com,6.08,7.8
rachelmadell.com,7.04,9.42
thesparklingmind.com,7.4,9.8
lifestylebydesign.solutions,4.72,8.46
joflintham.com,6.16,7.55
