age,total_life,R_Country,H_Country,Same_RH_Country,Privacy,TLD,cheap_TLD,dom_has_hyphen,dom_has_digits,top1m,has_Social,external_links,internal_links,label
5,6,3,1,0,0,1,0,0,0,0,0,1,0,1
4,5,3,1,0,0,1,0,0,0,0,0,1,0,1
3,4,1,1,1,0,1,0,0,1,0,0,0,0,1
3,4,1,1,1,0,1,0,0,1,0,0,0,0,1
2,3,1,1,1,0,1,0,0,1,0,0,0,0,1
2,3,1,1,1,0,1,0,0,1,0,0,0,0,1
1,3,1,1,1,0,1,0,0,1,0,0,0,0,1
1,2,42,1,0,0,1,0,0,1,0,0,0,0,1
6,7,1,1,1,0,1,0,0,0,0,1,5,91,1
5,6,1,1,1,0,1,0,0,0,0,0,0,0,1
4,5,1,1,1,0,1,0,0,0,0,0,0,0,1
4,8,1,1,1,0,1,0,0,0,1,1,11,9,1
6,8,1,1,1,0,1,0,0,0,1,1,11,11,1
5,8,1,1,1,0,1,0,0,0,1,1,11,11,1
5,10,1,1,1,0,1,0,0,0,0,0,1,0,1
4,5,1,16,0,0,1,0,1,0,0,0,1,0,1
3,5,1,1,1,0,1,0,1,0,0,0,1,0,1
3,5,1,16,0,0,1,0,1,0,0,0,1,0,1
2,3,1,1,1,0,1,0,1,0,0,0,1,0,1
7,8,1,1,1,1,1,0,0,0,0,1,19,85,1
6,7,1,1,1,1,1,0,0,0,0,1,19,85,1
6,7,1,1,1,1,1,0,0,0,0,1,6,34,1
4,6,1,1,1,1,1,0,0,0,0,1,9,18,1
4,5,3,1,0,0,1,0,0,0,0,1,9,18,1
4,5,3,1,0,0,1,0,0,0,0,1,9,21,1
1,2,1,1,1,0,1,0,0,0,0,0,0,0,1
3,4,2,1,0,0,1,0,0,0,0,0,1,1,1
2,3,2,1,0,0,1,0,0,0,0,0,1,1,1
6,6,1,1,1,1,9,0,0,0,0,0,0,0,1
5,6,2,1,0,1,9,0,0,0,0,0,0,0,1
5,5,2,1,0,1,9,0,0,0,0,0,0,0,1
5,5,2,3,0,1,9,0,0,0,0,0,0,0,1
5,5,2,1,0,1,9,0,0,0,0,0,0,0,1
4,5,2,1,0,1,9,0,0,0,0,0,1,2,1
3,4,2,1,0,1,9,0,0,0,0,0,0,0,1
3,4,2,1,0,1,9,0,0,0,0,0,0,0,1
5,6,1,1,1,0,1,0,1,0,1,0,28,11,1
4,5,1,1,1,0,1,0,1,0,1,0,28,11,1
3,4,1,1,1,0,1,0,1,0,1,0,23,11,1
3,3,1,1,1,0,1,0,1,0,1,0,23,12,1
8,9,1,3,0,0,25,0,0,0,1,1,8,17,1
7,9,1,3,0,0,25,0,0,0,1,1,8,9,1
7,8,1,3,0,0,25,0,0,0,1,1,8,9,1
7,8,1,3,0,0,25,0,0,0,1,1,8,17,1
6,7,1,3,0,0,25,0,0,0,1,1,13,10,1
8,9,1,16,0,0,5,0,0,0,0,1,6,0,1
7,8,1,16,0,0,5,0,0,0,0,1,6,0,1
2,3,1,3,0,1,9,0,0,0,0,0,0,0,1
2,3,1,3,0,0,9,0,0,0,0,0,0,0,1
2,3,1,3,0,0,9,0,0,0,0,0,0,0,1
6,8,1,1,1,0,1,0,0,0,0,0,1,13,1
4,6,1,1,1,0,1,0,0,0,0,0,0,13,1
4,6,1,1,1,0,1,0,0,0,0,0,1,13,1
3,4,1,1,1,0,1,0,0,0,0,0,0,13,1
3,4,1,1,1,0,1,0,0,0,0,0,0,13,1
3,4,1,16,0,0,1,0,0,0,0,0,0,13,1
5,6,3,1,0,0,1,0,0,0,0,1,3,7,1
4,5,3,1,0,0,1,0,0,0,0,1,3,7,1
3,4,3,1,0,0,1,0,0,0,0,1,3,7,1
3,8,4,1,0,0,1,0,0,0,0,1,1,130,1
3,8,4,4,1,0,1,0,0,0,0,1,1,130,1
0,1,1,1,1,0,1,0,0,0,0,0,0,63,1
5,6,1,1,1,0,1,0,0,0,0,0,0,63,1
4,5,1,1,1,0,1,0,0,0,0,0,0,63,1
3,5,1,1,1,0,1,0,0,0,0,0,0,63,1
4,5,3,1,0,0,1,0,1,0,0,0,3,0,1
3,4,3,1,0,0,1,0,1,0,0,0,3,0,1
2,3,3,1,0,0,1,0,1,0,0,0,3,0,1
2,2,3,1,0,0,1,0,1,0,0,0,1,0,1
7,8,2,1,0,0,1,0,0,0,0,0,0,19,1
6,7,2,1,0,0,1,0,0,0,0,0,0,19,1
5,6,2,1,0,0,1,0,0,0,0,0,0,19,1
7,8,3,1,0,0,1,0,0,0,0,1,6,3,1
6,7,3,1,0,0,1,0,0,0,0,1,9,6,1
5,6,3,1,0,0,1,0,0,0,0,1,6,0,1
12,13,1,10,0,1,1,0,0,0,0,1,11,22,1
11,12,1,1,1,0,1,0,0,0,0,1,11,22,1
10,11,1,1,1,0,1,0,0,0,0,1,11,29,1
5,6,3,1,0,0,1,0,0,1,0,0,2,2,1
4,5,1,1,1,1,5,0,0,0,0,0,0,0,1
