domain,domain_Age,lifeSpan,registrar_Country,host_Country,Same_Registrar_Host_Country,Privacy,TLD,cheap_TLD,domain_Has_Hyphen,domain_Has_Digits,top1m
linktr.ee,7.745205479,8,AUSTRALIA,UNITED STATES,False,False,ee,False,False,False,True
themeforest.net,16.03287671,18,AUSTRALIA,CANADA,False,False,net,False,False,False,True
bitly.com,20.07671233,21,UNITED STATES,UNITED STATES,True,False,com,False,False,False,True
theguardian.com,29.43561644,30,UNITED STATES,UNITED STATES,True,False,com,False,False,False,True
wpengine.com,13.74520548,15,UNITED STATES,CANADA,False,False,com,False,False,False,True
theatlantic.com,28.3260274,30,UNITED STATES,UNITED STATES,True,False,com,False,False,False,True
myshopify.com,17.76986301,17,CANADA,CANADA,True,False,com,False,False,False,False
ai-lawandorder.com,0.775342466,2,HONG KONG,HONG KONG,True,True,com,False,True,False,False
t.co,13.61917808,13,UNITED STATES,UNITED STATES,True,True,co,False,False,False,True
thelancet.com,27.78082192,28,UK,UNITED STATES,False,False,com,False,False,False,True
facebook.com,26.70410959,35,UNITED STATES,INDIA,False,False,com,False,False,False,True
amazon.com,29.11232877,29,UNITED STATES,UNITED STATES,True,False,com,False,False,False,True
sciencedaily.com,28.07123288,33,UNITED STATES,INDIA,False,False,com,False,False,False,True
opera.com,24.66027397,6,NORWAY,THE NETHERLANDS,False,True,com,False,False,False,True
newsweek.com,29.57260274,30,UNITED STATES,UNITED STATES,True,False,com,False,False,False,True
allaboutcookies.org,15.46575342,20,UNITED STATES,CANADA,False,True,org,False,False,False,True
google.com,26.23835616,30,UNITED STATES,INDIA,False,False,com,False,False,False,True
sourceforge.net,24.34246575,25,UNITED STATES,CANADA,False,False,net,False,False,False,True
hp.com,37.78356164,38,UNITED STATES,UNITED STATES,True,False,com,False,False,False,True
amazon.de,0.0,1,,IRELAND,False,False,de,False,False,False,True
alibaba.com,24.65753425,26,CHINA,UNITED STATES,False,False,com,False,False,False,True
forbes.com,30.48767123,30,UNITED STATES,CANADA,False,False,com,False,False,False,True
deviantart.com,23.62739726,32,UNITED STATES,INDIA,False,False,com,False,False,False,True
shopify.com,18.74794521,20,CANADA,CANADA,True,False,com,False,False,False,True
mysql.com,24.85205479,25,UNITED STATES,UNITED STATES,True,False,com,False,False,False,True
arxiv.org,24.95342466,31,UNITED STATES,UNITED STATES,True,True,org,False,False,False,True
quora.com,23.69863014,24,UNITED STATES,UNITED STATES,True,False,com,False,False,False,True
cbc.ca,23.14794521,24,CANADA,UNITED KINGDOM,False,False,ca,False,False,False,True
behance.net,18.08767123,19,UNITED STATES,UNITED STATES,True,False,net,False,False,False,True
state.gov,26.19178082,26,REDACTED FOR PRIVACY,UNITED STATES,False,True,gov,False,False,False,True
washington.edu,37.27671233,0,UNITED STATES,UNITED STATES,True,False,edu,False,False,False,True
sagepub.com,34.57808219,36,UNITED STATES,UNITED STATES,True,False,com,False,False,False,True
zendesk.com,18.56438356,19,UNITED STATES,UNITED STATES,True,False,com,False,False,False,True
europa.eu,0.0,1,,LUXEMBOURG,False,False,eu,False,False,False,True
wired.com,31.06027397,32,UNITED STATES,UNITED STATES,True,False,com,False,False,False,True
pixabay.com,13.16712329,14,FRANCE,CANADA,False,True,com,False,False,False,True
qq.com,28.60821918,38,CHINA,CHINA,True,False,com,False,False,False,True
statcounter.com,23.92876712,24,IRELAND,CANADA,False,False,com,False,False,False,True
biomedcentral.com,24.34794521,24,UNITED KINGDOM,UNITED STATES,False,False,com,False,False,False,True
elegantthemes.com,15.16712329,17,UNITED STATES,CANADA,False,False,com,False,False,False,True
cnet.com,29.77260274,30,UNITED STATES,UNITED STATES,True,False,com,False,False,False,True
readthedocs.io,9.479452055,12,ICELAND,CANADA,False,True,io,False,False,False,False
cloudflare.com,14.80273973,14,UNITED STATES,CANADA,False,False,com,False,False,False,True
calendly.com,10.77534247,13,UNITED STATES,CANADA,False,False,com,False,False,False,True
investopedia.com,24.38082192,25,UNITED STATES,UNITED STATES,True,False,com,False,False,False,True
google.com,26.23835616,30,UNITED STATES,UNITED STATES,True,False,com,False,False,False,True
kickstarter.com,24.9890411,28,ICELAND,CANADA,False,False,com,False,False,False,True
gitlab.com,19.89863014,21,UNITED STATES,CANADA,False,True,com,False,False,False,True
cpanel.net,23.07671233,29,UNITED STATES,UNITED STATES,True,True,net,False,False,False,True
businesswire.com,27.85205479,28,UNITED STATES,FRANCE,False,False,com,False,False,False,True
intuit.com,29.81369863,30,UNITED STATES,FRANCE,False,False,com,False,False,False,True
upenn.edu,37.53424658,0,UNITED STATES,CANADA,False,False,edu,False,False,False,True
android.com,26.46849315,26,UNITED STATES,FRANCE,False,False,com,False,False,False,True
archive.org,27.99452055,29,UNITED STATES,UNITED STATES,True,True,org,False,False,False,True
etsy.com,19.84109589,21,UNITED STATES,UNITED STATES,True,False,com,False,False,False,True
fda.gov,23.37260274,24,REDACTED FOR PRIVACY,FRANCE,False,True,gov,False,False,False,True
huawei.com,23.91506849,27,CHINA,CHINA,True,False,com,False,False,False,True
ietf.org,28.75616438,31,UNITED STATES,CANADA,False,True,org,False,False,False,True
yale.edu,36.74520548,0,UNITED STATES,UNITED STATES,True,False,edu,False,False,False,True
php.net,26.0630137,26,UNITED STATES,GERMANY,False,True,net,False,False,False,True
